severity,z_cm,r0_cm,rbase_cm,s_fraction
50,4.13333333333,0.18,0.18,0
50,4.16666666667,0.18,0.18,0
50,4.2,0.18,0.18,0
50,4.23333333333,0.18,0.18,0
50,4.26666666667,0.18,0.18,0
50,4.3,0.18,0.18,0
50,4.33333333333,0.18,0.18,0
50,4.36666666667,0.18,0.18,0
50,4.4,0.18,0.18,0
50,4.43333333333,0.18,0.18,0
50,4.46666666667,0.18,0.18,0
50,4.5,0.18,0.18,0
50,4.53333333333,0.18,0.18,0
50,4.56666666667,0.18,0.18,0
50,4.6,0.18,0.18,0
50,4.63333333333,0.18,0.18,0
50,4.66666666667,0.18,0.18,0
50,4.7,0.18,0.18,0
50,4.73333333333,0.18,0.18,0
50,4.76666666667,0.18,0.18,0
50,4.8,0.18,0.18,0
50,4.83333333333,0.18,0.18,0
50,4.86666666667,0.18,0.18,0
50,4.9,0.18,0.18,0
50,4.93333333333,0.18,0.18,0
50,4.96666666667,0.18,0.18,0
50,5,0.18,0.18,0
50,5.03333333333,0.18,0.18,0
50,5.06666666667,0.18,0.18,0
50,5.1,0.18,0.18,0
50,5.13333333333,0.18,0.18,0
50,5.16666666667,0.18,0.18,0
50,5.2,0.18,0.18,0
50,5.23333333333,0.18,0.18,0
50,5.26666666667,0.18,0.18,0
50,5.3,0.18,0.18,0
50,5.33333333333,0.18,0.18,0
50,5.36666666667,0.18,0.18,0
50,5.4,0.18,0.18,0
50,5.43333333333,0.18,0.18,0
50,5.46666666667,0.18,0.18,0
50,5.5,0.18,0.18,0
50,5.53333333333,0.18,0.18,0
50,5.56666666667,0.18,0.18,0
50,5.6,0.18,0.18,0
50,5.63333333333,0.18,0.18,0
50,5.66666666667,0.18,0.18,0
50,5.7,0.18,0.18,0
50,5.73333333333,0.18,0.18,0
50,5.76666666667,0.18,0.18,0
50,5.8,0.18,0.18,0
50,5.83333333333,0.18,0.18,0
50,5.86666666667,0.18,0.18,0
50,5.9,0.18,0.18,0
50,5.93333333333,0.18,0.18,0
50,5.96666666667,0.18,0.18,0
50,6,0.18,0.18,0
