severity,z_cm,theta_rad,x_cm,y_cm,r_cm
73,0,0,0.18,0,0.18
73,0,0.0872664625997,0.179315045657,0.0156880336946,0.18
73,0,0.174532925199,0.177265395542,0.03125667198,0.18
73,0,0.261799387799,0.173866648732,0.0465874281185,0.18
73,0,0.349065850399,0.169144671741,0.0615636257986,0.18
73,0,0.436332312999,0.163135401667,0.0760712871133,0.18
73,0,0.523598775598,0.155884572681,0.09,0.18
73,0,0.610865238198,0.147447367972,0.103243758543,0.18
73,0,0.698131700798,0.137887999761,0.115701769744,0.18
73,0,0.785398163397,0.127279220614,0.127279220614,0.18
73,0,0.872664625997,0.115701769744,0.137887999761,0.18
73,0,0.959931088597,0.103243758543,0.147447367972,0.18
73,0,1.0471975512,0.09,0.155884572681,0.18
73,0,1.1344640138,0.0760712871133,0.163135401667,0.18
73,0,1.2217304764,0.0615636257986,0.169144671741,0.18
73,0,1.308996939,0.0465874281185,0.173866648732,0.18
73,0,1.3962634016,0.03125667198,0.177265395542,0.18
73,0,1.4835298642,0.0156880336946,0.179315045657,0.18
73,0,1.57079632679,1.10218211923e-17,0.18,0.18
73,0,1.65806278939,-0.0156880336946,0.179315045657,0.18
73,0,1.74532925199,-0.03125667198,0.177265395542,0.18
73,0,1.83259571459,-0.0465874281185,0.173866648732,0.18
73,0,1.91986217719,-0.0615636257986,0.169144671741,0.18
73,0,2.00712863979,-0.0760712871133,0.163135401667,0.18
73,0,2.09439510239,-0.09,0.155884572681,0.18
73,0,2.18166156499,-0.103243758543,0.147447367972,0.18
73,0,2.26892802759,-0.115701769744,0.137887999761,0.18
73,0,2.35619449019,-0.127279220614,0.127279220614,0.18
73,0,2.44346095279,-0.137887999761,0.115701769744,0.18
73,0,2.53072741539,-0.147447367972,0.103243758543,0.18
73,0,2.61799387799,-0.155884572681,0.09,0.18
73,0,2.70526034059,-0.163135401667,0.0760712871133,0.18
73,0,2.79252680319,-0.169144671741,0.0615636257986,0.18
73,0,2.87979326579,-0.173866648732,0.0465874281185,0.18
73,0,2.96705972839,-0.177265395542,0.03125667198,0.18
73,0,3.05432619099,-0.179315045657,0.0156880336946,0.18
